sent_id	left_context	pivot	right_context
100	De sun aveir vos voelt asez duner, Urs e leuns e veltres enchaignez, Set cenz cameilz e mil hosturs muez, D'or e d'argent.IIII. cenz muls trussez, Cinquante care que carïer en 	ferez	 ; 
100	De sun aveir vos voelt asez duner, Urs e leuns e veltres 	enchaignez	, Set cenz cameilz e mil hosturs muez, D'or e d'argent.IIII. cenz muls trussez, Cinquante care que carïer en ferez ; 
101	Tant i avrat de besanz 	esmerez	, Dunt bien purrez voz soldeiers luer ; 
107	si cumencet a 	penser	. 
107	si 	cumencet	 a penser. 
113	« Vus avez mult ben 	dit	. 
117	Pa num d'	ocire	 i metrai un mien filz 
12	« 	Oez	, seignurs, quel pecchet nus encumbret. 
122	Charles 	respunt	 : 
123	« Uncore purrat 	guarir	. » 
126	Les dis mulez 	fait	 Charles establer. 
142	Des ore 	cumencet	 le cunseill que mal prist. 
143	« Seignurs barons, 	dist	 li emperere Carles, Li reis Marsilie m'ad tramis ses messages. 
150	Mais jo ne 	sai	 quels en est sis curages. » 
151		Dient	 Franceis : 
155	si li 	vint	 cuntredire. 
17018	Hom trovet 	lisant	 que Evax, li reis de Arabie, enveiat ad Neron, le emperur de Rume, un livre que il li escrist des natures des pieres, de lur manieres et de lur nuns et de lur culurs et en quele tere eles sunt et quele puissance eles unt. 
17018	Hom 	trovet	 lisant que Evax, li reis de Arabie, enveiat ad Neron, le emperur de Rume, un livre que il li escrist des natures des pieres, de lur manieres et de lur nuns et de lur culurs et en quele tere eles sunt et quele puissance eles unt. 
17019	Mult hi sunt les vertuz 	cuvertes	, 
17020	mais les aies en veit hom bien 	apertes	. 
17022	et plusurs aises en vient a cels ki 	sevent	 ; 
17023	ne nuls sages hom ne deit 	duter	 que Deus n'i ait mise grant vertut en pieres, altresi cume il at en herbes. 
17024	- Adamas est clere cume cristal, mais que ele ad colur de fer 	brunit	 ; 
17031	N'est si bele ne de si grant priz, ja 	seit	 iço que ele seit greinur. 
17038	et ele sanet les 	forsenez	, 
17057	ele est 	resplendissaunte	 e semblante al ciel quant il est pur sanz nues ; 
17058	si n'	est	 nule ki ait greinur vertut ne bealtéd. 
